order_id,customer_id,order_placement_date,on_time,in_full,otif
fmr34301103,789301,2022-03-01,0,1,0
fmr34301602,789301,2022-03-01,1,0,0
fmr34303602,789303,2022-03-01,1,0,0
fmr34320102,789320,2022-03-01,0,1,0
fmr34320602,789320,2022-03-01,1,1,1
fmr34321602,789321,2022-03-01,1,0,0
fmr34401102,789401,2022-03-01,1,1,1
fmr34401402,789401,2022-03-01,0,1,0
fmr34401503,789401,2022-03-01,1,1,1
fmr34402202,789402,2022-03-01,1,0,0
fmr34420303,789420,2022-03-01,1,0,0
fmr34420402,789420,2022-03-01,0,1,0
fmr34420501,789420,2022-03-01,0,1,0
fmr34421301,789421,2022-03-01,1,0,0
fmr34421601,789421,2022-03-01,0,0,0
fmr34422101,789422,2022-03-01,0,1,0
fmr34422403,789422,2022-03-01,0,0,0
fmr34501203,789501,2022-03-01,1,1,1
fmr34503502,789503,2022-03-01,1,1,1
fmr34520301,789520,2022-03-01,1,0,0
fmr34520302,789520,2022-03-01,0,0,0
fmr34520503,789520,2022-03-01,0,0,0
fmr34520602,789520,2022-03-01,0,0,0
fmr34522403,789522,2022-03-01,0,0,0
fmr34522601,789522,2022-03-01,0,0,0
fmr34601402,789601,2022-03-01,1,0,0
fmr34603302,789603,2022-03-01,1,1,1
fmr34603401,789603,2022-03-01,0,1,0
fmr34621103,789621,2022-03-01,1,0,0
fmr34621601,789621,2022-03-01,0,1,0
fmr34622101,789622,2022-03-01,1,0,0
fmr34622602,789622,2022-03-01,1,0,0
fmr34702502,789702,2022-03-01,1,0,0
fmr34702602,789702,2022-03-01,1,0,0
fmr34703602,789703,2022-03-01,1,0,0
fmr34720303,789720,2022-03-01,0,1,0
fmr34720402,789720,2022-03-01,0,0,0
fmr34721103,789721,2022-03-01,0,1,0
fmr34721502,789721,2022-03-01,0,0,0
fmr34721503,789721,2022-03-01,1,0,0
fmr34902102,789902,2022-03-01,0,1,0
fmr34902103,789902,2022-03-01,0,0,0
fmr34902202,789902,2022-03-01,1,1,1
fmr34903603,789903,2022-03-01,1,0,0
fmr33101501,789101,2022-03-02,1,0,0
fmr33102402,789102,2022-03-02,0,1,0
fmr33102403,789102,2022-03-02,1,0,0
fmr33103301,789103,2022-03-02,1,0,0
fmr33103603,789103,2022-03-02,1,1,1
fmr33121101,789121,2022-03-02,0,1,0
fmr33121403,789121,2022-03-02,0,1,0
fmr33122503,789122,2022-03-02,1,0,0
fmr33201403,789201,2022-03-02,1,1,1
fmr33202403,789202,2022-03-02,1,0,0
fmr33203403,789203,2022-03-02,1,1,1
fmr33203502,789203,2022-03-02,0,0,0
fmr33220101,789220,2022-03-02,1,0,0
fmr33220402,789220,2022-03-02,1,0,0
fmr33221401,789221,2022-03-02,1,1,1
fmr33301202,789301,2022-03-02,0,0,0
fmr33301502,789301,2022-03-02,1,0,0
fmr33301602,789301,2022-03-02,0,1,0
fmr33303403,789303,2022-03-02,1,0,0
fmr33320502,789320,2022-03-02,1,1,1
fmr33321303,789321,2022-03-02,1,0,0
fmr33321503,789321,2022-03-02,1,1,1
fmr33401301,789401,2022-03-02,1,0,0
fmr33402602,789402,2022-03-02,1,0,0
fmr33403103,789403,2022-03-02,1,0,0
fmr33403601,789403,2022-03-02,1,1,1
fmr33420302,789420,2022-03-02,0,0,0
fmr33420602,789420,2022-03-02,0,0,0
fmr33422103,789422,2022-03-02,0,0,0
fmr33422203,789422,2022-03-02,1,1,1
fmr33422302,789422,2022-03-02,0,1,0
fmr33501602,789501,2022-03-02,1,0,0
fmr33503203,789503,2022-03-02,0,1,0
fmr33503603,789503,2022-03-02,1,0,0
fmr33520201,789520,2022-03-02,0,1,0
fmr33520203,789520,2022-03-02,1,0,0
fmr33520303,789520,2022-03-02,1,0,0
fmr33520402,789520,2022-03-02,0,0,0
fmr33521501,789521,2022-03-02,0,1,0
fmr33521601,789521,2022-03-02,1,1,1
fmr33521603,789521,2022-03-02,0,1,0
fmr33522303,789522,2022-03-02,1,1,1
fmr33522603,789522,2022-03-02,0,1,0
fmr33601203,789601,2022-03-02,1,0,0
fmr33601601,789601,2022-03-02,1,0,0
fmr33603502,789603,2022-03-02,1,1,1
fmr33621303,789621,2022-03-02,0,1,0
fmr33621402,789621,2022-03-02,0,1,0
fmr33622402,789622,2022-03-02,1,1,1
fmr33702602,789702,2022-03-02,1,0,0
fmr33703601,789703,2022-03-02,1,0,0
fmr33720403,789720,2022-03-02,1,1,1
fmr33721102,789721,2022-03-02,1,0,0
fmr33902503,789902,2022-03-02,1,0,0
fmr33903303,789903,2022-03-02,0,0,0
fmr33903503,789903,2022-03-02,1,0,0
fmr34101203,789101,2022-03-02,1,1,1
fmr34101302,789101,2022-03-02,0,0,0
fmr34102403,789102,2022-03-02,1,0,0
fmr34102601,789102,2022-03-02,0,1,0
fmr34121401,789121,2022-03-02,0,1,0
fmr34121502,789121,2022-03-02,1,1,1
fmr34121603,789121,2022-03-02,0,0,0
fmr34122202,789122,2022-03-02,0,0,0
fmr34122403,789122,2022-03-02,0,0,0
fmr34201502,789201,2022-03-02,1,1,1
fmr34201601,789201,2022-03-02,0,1,0
fmr34202202,789202,2022-03-02,0,1,0
fmr34202203,789202,2022-03-02,1,1,1
fmr34202502,789202,2022-03-02,1,0,0
fmr34203602,789203,2022-03-02,1,1,1
fmr34220501,789220,2022-03-02,1,0,0
fmr34221203,789221,2022-03-02,1,1,1
fmr34221601,789221,2022-03-02,1,1,1
fmr34301101,789301,2022-03-02,1,0,0
fmr34301501,789301,2022-03-02,0,1,0
fmr34303303,789303,2022-03-02,1,0,0
fmr34320402,789320,2022-03-02,1,0,0
fmr34321101,789321,2022-03-02,0,1,0
fmr34321502,789321,2022-03-02,1,1,1
fmr34401603,789401,2022-03-02,1,1,1
fmr34402503,789402,2022-03-02,1,1,1
fmr34402603,789402,2022-03-02,1,1,1
fmr34403602,789403,2022-03-02,1,1,1
fmr34420302,789420,2022-03-02,0,1,0
fmr34420403,789420,2022-03-02,0,1,0
fmr34421402,789421,2022-03-02,0,0,0
fmr34421603,789421,2022-03-02,0,0,0
fmr34422202,789422,2022-03-02,0,1,0
fmr34422503,789422,2022-03-02,0,1,0
fmr34501403,789501,2022-03-02,1,0,0
fmr34503301,789503,2022-03-02,0,0,0
fmr34503602,789503,2022-03-02,1,0,0
fmr34520201,789520,2022-03-02,0,1,0
fmr34521103,789521,2022-03-02,0,1,0
fmr34521301,789521,2022-03-02,0,0,0
fmr34521401,789521,2022-03-02,1,1,1
fmr34521403,789521,2022-03-02,1,1,1
fmr34521603,789521,2022-03-02,0,0,0
fmr34522101,789522,2022-03-02,1,1,1
fmr34522303,789522,2022-03-02,0,1,0
fmr34522401,789522,2022-03-02,0,1,0
fmr34522603,789522,2022-03-02,0,1,0
fmr34601501,789601,2022-03-02,1,0,0
fmr34603203,789603,2022-03-02,1,1,1
fmr34603601,789603,2022-03-02,1,1,1
fmr34621102,789621,2022-03-02,0,1,0
fmr34702403,789702,2022-03-02,0,0,0
fmr34702601,789702,2022-03-02,1,0,0
fmr34703601,789703,2022-03-02,1,1,1
fmr34720601,789720,2022-03-02,1,0,0
fmr34721301,789721,2022-03-02,1,1,1
fmr34721601,789721,2022-03-02,1,0,0
fmr34902602,789902,2022-03-02,1,0,0
fmr34903403,789903,2022-03-02,1,0,0
fmr35101502,789101,2022-03-02,1,1,1
fmr35102301,789102,2022-03-02,0,1,0
fmr35102401,789102,2022-03-02,1,1,1
fmr35103601,789103,2022-03-02,1,0,0
fmr35121202,789121,2022-03-02,0,1,0
fmr35121203,789121,2022-03-02,1,1,1
fmr35121602,789121,2022-03-02,1,0,0
fmr35122202,789122,2022-03-02,0,0,0
fmr35122302,789122,2022-03-02,0,1,0
fmr35122502,789122,2022-03-02,0,0,0
fmr35122602,789122,2022-03-02,1,0,0
fmr35201303,789201,2022-03-02,1,0,0
fmr35202603,789202,2022-03-02,1,1,1
fmr35203601,789203,2022-03-02,1,1,1
fmr35220102,789220,2022-03-02,1,1,1
fmr35220201,789220,2022-03-02,1,0,0
fmr35221203,789221,2022-03-02,1,0,0
fmr35301401,789301,2022-03-02,1,1,1
fmr35301503,789301,2022-03-02,0,1,0
fmr35303101,789303,2022-03-02,1,1,1
fmr35303503,789303,2022-03-02,0,1,0
fmr35303601,789303,2022-03-02,1,0,0
fmr35320402,789320,2022-03-02,1,0,0
fmr35320601,789320,2022-03-02,1,0,0
fmr35321101,789321,2022-03-02,1,1,1
fmr35321301,789321,2022-03-02,0,1,0
fmr35321303,789321,2022-03-02,0,1,0
fmr35321603,789321,2022-03-02,1,0,0
fmr35401201,789401,2022-03-02,0,1,0
fmr35401203,789401,2022-03-02,1,0,0
fmr35402501,789402,2022-03-02,1,1,1
fmr35402603,789402,2022-03-02,1,1,1
fmr35420102,789420,2022-03-02,0,0,0
fmr35420402,789420,2022-03-02,1,1,1
fmr35421602,789421,2022-03-02,0,0,0
fmr35422303,789422,2022-03-02,0,1,0
fmr35422501,789422,2022-03-02,1,0,0
fmr35422503,789422,2022-03-02,0,1,0
fmr35501401,789501,2022-03-02,1,1,1
fmr35501601,789501,2022-03-02,1,0,0
fmr35503502,789503,2022-03-02,1,0,0
fmr35520502,789520,2022-03-02,1,0,0
fmr35521303,789521,2022-03-02,0,1,0
fmr35522103,789522,2022-03-02,1,1,1
fmr35522602,789522,2022-03-02,0,0,0
fmr35601601,789601,2022-03-02,1,0,0
fmr35603302,789603,2022-03-02,1,1,1
fmr35603402,789603,2022-03-02,0,0,0
fmr35603601,789603,2022-03-02,1,1,1
fmr35621202,789621,2022-03-02,1,1,1
fmr35621302,789621,2022-03-02,1,1,1
fmr35622603,789622,2022-03-02,1,0,0
fmr35702202,789702,2022-03-02,1,1,1
fmr35702603,789702,2022-03-02,1,1,1
fmr35703502,789703,2022-03-02,1,1,1
fmr35720302,789720,2022-03-02,1,0,0
fmr35721103,789721,2022-03-02,1,1,1
fmr35902601,789902,2022-03-02,1,0,0
fmr35903201,789903,2022-03-02,0,0,0
fmr35903202,789903,2022-03-02,1,0,0
fmr35903601,789903,2022-03-02,1,0,0
fmr34101603,789101,2022-03-03,1,0,0
fmr34102401,789102,2022-03-03,0,0,0
fmr34102503,789102,2022-03-03,1,0,0
fmr34103302,789103,2022-03-03,0,0,0
fmr34103602,789103,2022-03-03,1,0,0
fmr34121101,789121,2022-03-03,1,1,1
fmr34122502,789122,2022-03-03,0,0,0
fmr34122503,789122,2022-03-03,0,0,0
fmr34122603,789122,2022-03-03,0,0,0
fmr34201603,789201,2022-03-03,1,0,0
fmr34202601,789202,2022-03-03,1,1,1
fmr34203501,789203,2022-03-03,1,1,1
fmr34220502,789220,2022-03-03,1,1,1
fmr34221503,789221,2022-03-03,1,0,0
fmr34221603,789221,2022-03-03,0,0,0
fmr34301401,789301,2022-03-03,1,0,0
fmr34303603,789303,2022-03-03,1,1,1
fmr34320502,789320,2022-03-03,1,1,1
fmr34321201,789321,2022-03-03,0,1,0
fmr34321403,789321,2022-03-03,1,1,1
fmr34401302,789401,2022-03-03,1,1,1
fmr34402501,789402,2022-03-03,1,0,0
fmr34403502,789403,2022-03-03,1,0,0
fmr34420201,789420,2022-03-03,1,0,0
fmr34421502,789421,2022-03-03,0,0,0
fmr34421503,789421,2022-03-03,0,0,0
fmr34422601,789422,2022-03-03,0,1,0
fmr34422602,789422,2022-03-03,1,0,0
fmr34501601,789501,2022-03-03,1,0,0
fmr34503103,789503,2022-03-03,0,0,0
fmr34503601,789503,2022-03-03,1,1,1
fmr34520103,789520,2022-03-03,0,0,0
fmr34521402,789521,2022-03-03,0,1,0
fmr34521502,789521,2022-03-03,0,0,0
fmr34601603,789601,2022-03-03,1,0,0
fmr34603603,789603,2022-03-03,1,0,0
fmr34621603,789621,2022-03-03,1,0,0
fmr34622301,789622,2022-03-03,0,1,0
fmr34622502,789622,2022-03-03,1,0,0
fmr34702402,789702,2022-03-03,1,0,0
fmr34703403,789703,2022-03-03,1,1,1
fmr34720603,789720,2022-03-03,1,0,0
fmr34721101,789721,2022-03-03,1,1,1
fmr34721603,789721,2022-03-03,1,0,0
fmr34902603,789902,2022-03-03,1,1,1
fmr34903101,789903,2022-03-03,0,0,0
fmr34903401,789903,2022-03-03,1,0,0
fmr34903502,789903,2022-03-03,1,0,0
fmr35101401,789101,2022-03-03,1,1,1
fmr35102403,789102,2022-03-03,1,1,1
fmr35103502,789103,2022-03-03,1,0,0
fmr35121302,789121,2022-03-03,1,0,0
fmr35121503,789121,2022-03-03,0,0,0
fmr35122102,789122,2022-03-03,0,0,0
fmr35122303,789122,2022-03-03,0,0,0
fmr35122603,789122,2022-03-03,1,1,1
fmr35201601,789201,2022-03-03,1,0,0
fmr35202201,789202,2022-03-03,0,1,0
fmr35202601,789202,2022-03-03,1,0,0
fmr35203502,789203,2022-03-03,1,0,0
fmr35220303,789220,2022-03-03,1,0,0
fmr35220402,789220,2022-03-03,0,1,0
fmr35221403,789221,2022-03-03,1,0,0
fmr35301103,789301,2022-03-03,1,0,0
fmr35303203,789303,2022-03-03,1,0,0
fmr35303401,789303,2022-03-03,0,1,0
fmr35320303,789320,2022-03-03,0,1,0
fmr35320602,789320,2022-03-03,1,1,1
fmr35321302,789321,2022-03-03,0,1,0
fmr35321502,789321,2022-03-03,1,0,0
fmr35401403,789401,2022-03-03,1,1,1
fmr35402602,789402,2022-03-03,1,0,0
fmr35403302,789403,2022-03-03,1,0,0
fmr35403501,789403,2022-03-03,1,1,1
fmr35420101,789420,2022-03-03,0,1,0
fmr35420302,789420,2022-03-03,1,0,0
fmr35420303,789420,2022-03-03,0,1,0
fmr35421103,789421,2022-03-03,0,0,0
fmr35421502,789421,2022-03-03,0,0,0
fmr35501101,789501,2022-03-03,1,1,1
fmr35503202,789503,2022-03-03,1,1,1
fmr35503501,789503,2022-03-03,1,1,1
fmr35503602,789503,2022-03-03,0,1,0
fmr35520102,789520,2022-03-03,0,1,0
fmr35520602,789520,2022-03-03,0,0,0
fmr35521501,789521,2022-03-03,1,1,1
fmr35521601,789521,2022-03-03,0,1,0
fmr35521602,789521,2022-03-03,0,0,0
fmr35522403,789522,2022-03-03,0,0,0
fmr35522601,789522,2022-03-03,0,0,0
fmr35601102,789601,2022-03-03,0,0,0
fmr35601602,789601,2022-03-03,1,0,0
fmr35603603,789603,2022-03-03,1,0,0
fmr35621403,789621,2022-03-03,1,0,0
fmr35622301,789622,2022-03-03,1,1,1
fmr35702503,789702,2022-03-03,1,0,0
fmr35702601,789702,2022-03-03,0,0,0
fmr35703102,789703,2022-03-03,1,0,0
fmr35720603,789720,2022-03-03,1,0,0
fmr35721603,789721,2022-03-03,1,1,1
fmr35902302,789902,2022-03-03,1,1,1
fmr35903203,789903,2022-03-03,1,0,0
fmr35903401,789903,2022-03-03,0,0,0
fmr36101401,789101,2022-03-03,1,0,0
fmr36102401,789102,2022-03-03,1,0,0
fmr36103201,789103,2022-03-03,1,0,0
fmr36103301,789103,2022-03-03,0,1,0
fmr36121203,789121,2022-03-03,0,0,0
fmr36121402,789121,2022-03-03,0,0,0
fmr36121602,789121,2022-03-03,1,1,1
fmr36122503,789122,2022-03-03,0,0,0
fmr36122601,789122,2022-03-03,0,0,0
fmr36122602,789122,2022-03-03,0,0,0
fmr36202203,789202,2022-03-03,0,0,0
fmr36202603,789202,2022-03-03,1,1,1
fmr36203203,789203,2022-03-03,1,0,0
fmr36220401,789220,2022-03-03,1,1,1
fmr36221402,789221,2022-03-03,0,1,0
fmr36221602,789221,2022-03-03,1,1,1
fmr36301201,789301,2022-03-03,1,1,1
fmr36301301,789301,2022-03-03,0,1,0
fmr36303602,789303,2022-03-03,1,0,0
fmr36320402,789320,2022-03-03,0,0,0
fmr36320503,789320,2022-03-03,1,1,1
fmr36401501,789401,2022-03-03,1,1,1
fmr36402101,789402,2022-03-03,1,1,1
fmr36403201,789403,2022-03-03,1,1,1
fmr36420503,789420,2022-03-03,1,1,1
fmr36420602,789420,2022-03-03,0,0,0
fmr36420603,789420,2022-03-03,0,1,0
fmr36421202,789421,2022-03-03,0,1,0
fmr36421403,789421,2022-03-03,0,0,0
fmr36421601,789421,2022-03-03,1,0,0
fmr36422101,789422,2022-03-03,0,1,0
fmr36501103,789501,2022-03-03,0,0,0
fmr36501201,789501,2022-03-03,1,1,1
fmr36501502,789501,2022-03-03,1,1,1
fmr36503402,789503,2022-03-03,1,0,0
fmr36520301,789520,2022-03-03,0,0,0
fmr36520502,789520,2022-03-03,1,0,0
fmr36520602,789520,2022-03-03,1,0,0
fmr36521203,789521,2022-03-03,0,1,0
fmr36521302,789521,2022-03-03,0,0,0
fmr36521602,789521,2022-03-03,0,1,0
fmr36521603,789521,2022-03-03,1,0,0
fmr36522103,789522,2022-03-03,1,1,1
fmr36522401,789522,2022-03-03,0,1,0
fmr36522603,789522,2022-03-03,0,1,0
fmr36601503,789601,2022-03-03,1,1,1
fmr36603501,789603,2022-03-03,1,0,0
fmr36603503,789603,2022-03-03,0,1,0
fmr36603602,789603,2022-03-03,1,1,1
fmr36621202,789621,2022-03-03,1,0,0
fmr36622503,789622,2022-03-03,1,1,1
fmr36702502,789702,2022-03-03,1,1,1
fmr36703303,789703,2022-03-03,1,1,1
fmr36703601,789703,2022-03-03,1,0,0
fmr36720402,789720,2022-03-03,0,1,0
fmr36720503,789720,2022-03-03,1,1,1
fmr36721101,789721,2022-03-03,0,0,0
fmr36721103,789721,2022-03-03,1,1,1
fmr36902601,789902,2022-03-03,0,0,0
fmr36903501,789903,2022-03-03,1,0,0
fmr35101203,789101,2022-03-04,0,1,0
fmr35101603,789101,2022-03-04,1,0,0
fmr35102603,789102,2022-03-04,1,0,0
fmr35103402,789103,2022-03-04,0,0,0
fmr35103503,789103,2022-03-04,1,0,0
fmr35103603,789103,2022-03-04,1,0,0
fmr35121303,789121,2022-03-04,0,1,0
fmr35121501,789121,2022-03-04,0,1,0
fmr35122201,789122,2022-03-04,1,0,0
fmr35122402,789122,2022-03-04,0,0,0
fmr35122601,789122,2022-03-04,0,0,0
fmr35201401,789201,2022-03-04,1,1,1
fmr35201503,789201,2022-03-04,1,1,1
fmr35202402,789202,2022-03-04,1,1,1
fmr35202503,789202,2022-03-04,1,1,1
fmr35203301,789203,2022-03-04,1,1,1
fmr35203602,789203,2022-03-04,0,1,0
fmr35220401,789220,2022-03-04,1,0,0
fmr35221102,789221,2022-03-04,1,1,1
fmr35301602,789301,2022-03-04,1,0,0
fmr35303301,789303,2022-03-04,0,1,0
fmr35303603,789303,2022-03-04,1,1,1
fmr35320401,789320,2022-03-04,1,0,0
fmr35320502,789320,2022-03-04,0,1,0
fmr35321601,789321,2022-03-04,1,0,0
fmr35401501,789401,2022-03-04,1,1,1
fmr35402303,789402,2022-03-04,0,1,0
fmr35402402,789402,2022-03-04,1,0,0
fmr35403503,789403,2022-03-04,1,1,1
fmr35403602,789403,2022-03-04,1,0,0
fmr35420601,789420,2022-03-04,1,1,1
fmr35420602,789420,2022-03-04,0,0,0
fmr35420603,789420,2022-03-04,0,1,0
fmr35421403,789421,2022-03-04,1,0,0
fmr35421501,789421,2022-03-04,1,1,1
fmr35422102,789422,2022-03-04,0,1,0
fmr35422202,789422,2022-03-04,0,1,0
fmr35501302,789501,2022-03-04,0,1,0
fmr35501402,789501,2022-03-04,1,0,0
fmr35503402,789503,2022-03-04,1,1,1
fmr35520201,789520,2022-03-04,0,0,0
fmr35520301,789520,2022-03-04,1,0,0
fmr35520302,789520,2022-03-04,0,0,0
fmr35520303,789520,2022-03-04,0,0,0
fmr35521401,789521,2022-03-04,0,1,0
fmr35521403,789521,2022-03-04,0,1,0
fmr35521603,789521,2022-03-04,1,0,0
fmr35522102,789522,2022-03-04,0,1,0
fmr35522401,789522,2022-03-04,1,0,0
fmr35522603,789522,2022-03-04,0,1,0
fmr35601501,789601,2022-03-04,1,0,0
fmr35603101,789603,2022-03-04,0,1,0
fmr35603202,789603,2022-03-04,1,1,1
fmr35621402,789621,2022-03-04,1,1,1
fmr35621603,789621,2022-03-04,1,1,1
fmr35622402,789622,2022-03-04,1,0,0
fmr35622501,789622,2022-03-04,0,1,0
fmr35702301,789702,2022-03-04,1,1,1
fmr35703402,789703,2022-03-04,1,1,1
fmr35703601,789703,2022-03-04,1,0,0
fmr35720602,789720,2022-03-04,1,1,1
fmr35721502,789721,2022-03-04,1,0,0
fmr35721601,789721,2022-03-04,1,1,1
fmr35902502,789902,2022-03-04,1,1,1
fmr35903603,789903,2022-03-04,1,0,0
fmr36101501,789101,2022-03-04,1,1,1
fmr36102503,789102,2022-03-04,1,0,0
fmr36103302,789103,2022-03-04,0,0,0
fmr36103403,789103,2022-03-04,0,0,0
fmr36103603,789103,2022-03-04,1,0,0
fmr36121403,789121,2022-03-04,1,1,1
fmr36121503,789121,2022-03-04,1,0,0
fmr36122203,789122,2022-03-04,1,0,0
fmr36122502,789122,2022-03-04,0,0,0
fmr36202601,789202,2022-03-04,1,1,1
fmr36203302,789203,2022-03-04,1,1,1
fmr36203401,789203,2022-03-04,1,0,0
fmr36203502,789203,2022-03-04,0,1,0
fmr36220601,789220,2022-03-04,1,0,0
fmr36220603,789220,2022-03-04,0,0,0
fmr36221203,789221,2022-03-04,1,0,0
